source	sourceTitle	target	targetTitle
Matteo Carandini	-	Tony Movshon	orig
Edward H Adelson	-	Tony Movshon	orig
Edward H Adelson	-	Eero P Simoncelli	orig
Corey M Ziemba	-	Tony Movshon	orig
Mehrdad Jazayeri	-	Tony Movshon	orig
Robbe L T Goris	-	Tony Movshon	orig
Suzanne McKee	-	Tony Movshon	orig
Dennis M. LEVI	-	Tony Movshon	orig
Romesh Kumbhani	-	Tony Movshon	orig
Luke Hallum	-	Tony Movshon	orig
Colin Blakemore	-	Tony Movshon	orig
Jonathan B Levitt	-	Tony Movshon	orig
Jonathan B Levitt	-	Robert M Shapley	orig
Karl Gegenfurtner	-	Tony Movshon	orig
Terrence Sejnowski	edu	Tony Movshon	orig
Biyu J He	orig	Marcus E. Raichle	-
Biyu J He	orig	Maurizio Corbetta	-
Biyu J He	orig	Justin L Vincent	-
Biyu J He	orig	Brian Maniscalco	-
Biyu J He	orig	patrice abry	-
Biyu J He	orig	Patric Hagmann	-
Biyu J He	orig	GUSTAVO DECO	-
Biyu J He	orig	Philippe Ciuciu	-
Biyu J He	orig	Brett L. Foster	-
Biyu J He	orig	Tjeerd W Boonstra	-
Abraham Z. Snyder	-	Biyu J He	orig
Ayelet sapir	-	Biyu J He	orig
Andreas Daffertshofer	-	Biyu J He	orig
Máté Lengyel	uk	Pietro Berkes	-
Jozsef Fiser	-	Máté Lengyel	uk
Gergo Orban	-	Máté Lengyel	uk
Cristina Savin	orig	Máté Lengyel	uk
Cristina Savin	orig	Jochen Triesch	-
Cristina Savin	orig	Raul C. Muresan	-
Cristina Savin	orig	Michael Meyer-Hermann	-
Cristina Savin	orig	Jorg Lucke	-
Cristina Savin	orig	Sophie Deneve	-
Cristina Savin	orig	Pietro Berkes	-
Cristina Savin	orig	Jozsef Fiser	-
Cristina Savin	orig	Friedemann Zenke	-
Cristina Savin	orig	Rodica Potolea	-
Cristina Savin	orig	Gasper Tkacik	-
Cristina Savin	orig	Kyunghyun Cho	edu
Cristina Savin	orig	Owen Marschall	-
Cristina Savin	orig	Eero P Simoncelli	orig
Cristina Savin	orig	Travis Monk	-
Cristina Savin	orig	Gergo Orban	-
Cristina Savin	orig	Eun Hye Park	-
Cristina Savin	orig	Stephen Keeley	-
Cristina Savin	orig	Felipe Gerhard	-
Aravinda Chakravarti	orig	Stylianos E. Antonarakis	-
Aravinda Chakravarti	orig	richard cooper	-
Aravinda Chakravarti	orig	Stanislas Lyonnet	-
Aravinda Chakravarti	orig	James Lupski	-
Aravinda Chakravarti	orig	Evan Eichler	-
Aravinda Chakravarti	orig	Jef D. Boeke	-
Andrew McCallion	-	Aravinda Chakravarti	orig
Anselm Rothe	-	Brenden Lake	orig
Anselm Rothe	-	Todd Gureckis	orig
BJ Casey, Ph.D.	-	Catherine Hartley	orig
Andrew Drysdale	-	Catherine Hartley	orig
Bruce Fischl or B Fischl	-	Catherine Hartley	orig
Andrew Holmes	-	Catherine Hartley	orig
Alexandra O. Cohen	-	Catherine Hartley	orig
Dmitry Rinberg	orig	Roma Shusterman	-
Dmitry Rinberg	orig	Matthew Smear	-
Dmitry Rinberg	orig	Sergey Kravchenko	-
Dmitry Rinberg	orig	Rod O'Connor, Ph.D.	-
Dmitry Rinberg	orig	Naoshige Uchida	-
Dmitry Rinberg	orig	Venkatesh N. Murthy	-
Dmitry Rinberg	orig	William Bialek	-
Dmitry Rinberg	orig	Rachel I. Wilson	-
Dmitry Rinberg	orig	Sasha Devore	-
Armen Enikolopov	-	Dmitry Rinberg	orig
Bijan Pesaran	orig	Partha P Mitra	-
Bijan Pesaran	orig	Sam Musallam	-
Bijan Pesaran	orig	Maneesh Sahani	-
Bijan Pesaran	orig	David Kleinfeld	-
Bijan Pesaran	orig	Krishna V Shenoy	-
Bijan Pesaran	orig	Maureen Hagan	-
Bijan Pesaran	orig	Gerwin Schalk	-
Bijan Pesaran	orig	Peter Brunner	-
Bijan Pesaran	orig	Nathaniel D. Daw	edu
Bijan Pesaran	orig	David A. Markowitz	-
Bijan Pesaran	orig	Ofer Tchernichovski	-
Bijan Pesaran	orig	John Choi	-
Bijan Pesaran	orig	Eric Leuthardt	-
Bijan Pesaran	orig	Thomas Thesen	orig
Bijan Pesaran	orig	Gregory B. Cogan	-
Bijan Pesaran	orig	Orrin Devinsky	-
