source	sourceTitle	target	targetTitle
Bijan Pesaran	edu	Eric Leuthardt	-
Bijan Pesaran	edu	Thomas Thesen	edu
Bijan Pesaran	edu	Gregory B. Cogan	-
Bijan Pesaran	edu	Orrin Devinsky	-
Bijan Pesaran	edu	Lawrence Cohen	-
Bijan Pesaran	edu	Michale S Fee	-
Krishna V Shenoy	-	Matthew T Kaufman	edu
Aysegul (Ayse) Gunduz	-	Bijan Pesaran	edu
Amy L. Orsborn	-	Bijan Pesaran	edu
Orrin Devinsky	-	Thomas Thesen	edu
Uri Hasson	edu	yaara yeshurun	-
Hossein Esteky	-	Roozbeh Kiani	edu
Peter A. Bandettini	-	Roozbeh Kiani	edu
Marieke Mur	-	Roozbeh Kiani	edu
Marieke Mur	-	Nikolaus Kriegeskorte	edu
Nikolaus Kriegeskorte	edu	Roozbeh Kiani	edu
Nikolaus Kriegeskorte	edu	Peter A. Bandettini	-
Jerzy Bodurka	-	Roozbeh Kiani	edu
Jerzy Bodurka	-	Nikolaus Kriegeskorte	edu
Arash Afraz	-	Roozbeh Kiani	edu
Ariel Zylberberg	-	Roozbeh Kiani	edu
Davood Shahrjerdi	-	Roozbeh Kiani	edu
Braden Purcell	-	Roozbeh Kiani	edu
David Raposo	-	Matthew T Kaufman	edu
Mitsuo Kawato	-	Vincent Taschereau-Dumouchel	edu
Derek Evan Nee	-	Dobromir Rahnev	edu
Alina Sue Larson	-	Dobromir Rahnev	edu
Daniel E. Acuna	-	Konrad Paul Kording	edu
David C. Mohr	-	Konrad Paul Kording	edu
Christoph Kayser	-	Konrad Paul Kording	edu
Iris Vilares	-	Konrad Paul Kording	edu
Arun Jayaraman	-	Konrad Paul Kording	edu
Ari Benjamin	-	Konrad Paul Kording	edu
Anil Seth	uk	Jason Samaha	edu
Anil Seth	uk	Steve Fleming	uk
D Samuel Schwarzkopf	-	Steve Fleming	uk
Anna Schapiro	edu	Kenneth A. Norman	edu
Anna Schapiro	edu	Samuel Gershman	edu
Anna Schapiro	edu	Christopher J. Honey	edu
Chris Frith	-	Daniel Wolpert	edu
Chris Frith	-	Steve Fleming	uk
Sarah-Jayne Blakemore	-	Steve Fleming	uk
Patrick Haggard	-	Steve Fleming	uk
Mark Steyvers	-	Thomas L. Griffiths	edu
Jessica B. Hamrick	com	Joshua B. Tenenbaum	edu
Jessica B. Hamrick	com	Thomas L. Griffiths	edu
Sebastien Hetu	-	Vincent Taschereau-Dumouchel	edu
Philip L. Jackson	-	Vincent Taschereau-Dumouchel	edu
Aurelio Cortese	-	Vincent Taschereau-Dumouchel	edu
Aurelio Cortese	-	Kaoru Amano	jp
JD Knotts	-	Vincent Taschereau-Dumouchel	edu
Frédéric Gosselin	-	Vincent Taschereau-Dumouchel	edu
Piercesare Grimaldi	-	Vincent Taschereau-Dumouchel	edu
Jiajun Wu	-	Joshua B. Tenenbaum	edu
Antonio Torralba	-	Joshua B. Tenenbaum	edu
Amy Perfors	-	Joshua B. Tenenbaum	edu
Edward Vul	-	Joshua B. Tenenbaum	edu
Ilker Yildirim	-	Joshua B. Tenenbaum	edu
Karen Blackmon	-	Thomas Thesen	edu
Karen Blackmon	-	Steve Fleming	uk
Sydney S. Cash	-	Thomas Thesen	edu
Jacqueline French	-	Thomas Thesen	edu
Daniel Friedman	-	Thomas Thesen	edu
Carrie McDonald	-	Thomas Thesen	edu
Professor Gemma Calvert	-	Thomas Thesen	edu
Lucia Melloni	-	Thomas Thesen	edu
Joseph R. Madsen	-	Thomas Thesen	edu
Heath Pardoe	-	Thomas Thesen	edu
Donald J. Hagler, Jr.	-	Thomas Thesen	edu
Anli Liu	-	Thomas Thesen	edu
Nima Dehghani	-	Thomas Thesen	edu
Anders M. Dale	-	Thomas Thesen	edu
Kaoru Amano	jp	Shin'ya Nishida	-
Kaoru Amano	jp	Mitsuo Kawato	-
Kaoru Amano	jp	Serge O. Dumoulin	-
Kaoru Amano	jp	Mark Edwards	-
Kaoru Amano	jp	Kazuhisa Shibata	-
Kaoru Amano	jp	Rory Sayres	-
Kaoru Amano	jp	Naokazu Goda	-
Kaoru Amano	jp	Kazushi Maruya	-
Brian Wandell	-	Kaoru Amano	jp
Jonathan Winawer	edu	Kaoru Amano	jp
Hiromasa Takemura	-	Kaoru Amano	jp
David R. Badcock	-	Kaoru Amano	jp
Hiroshi Horiguchi	-	Kaoru Amano	jp
Alan Johnston	-	Kaoru Amano	jp
Ichiro Kuriki	-	Kaoru Amano	jp
Ichiro Fujita	-	Kaoru Amano	jp
Hiroaki Gomi	-	Kaoru Amano	jp
Dean Buonomano	edu	Uma R. Karmarkar	-
Dean Buonomano	edu	John H Byrne	-
Dean Buonomano	edu	Rodrigo Laje	-
Dean Buonomano	edu	Vishwa Goudar	-
Dean Buonomano	edu	Wolfgang Maass	at
Dean Buonomano	edu	Henry Mahncke	-
Dean Buonomano	edu	Virginie van Wassenhove	-
Dean Buonomano	edu	Ladan Shams	edu
Dean Buonomano	edu	Jian K. Liu	-
Dean Buonomano	edu	Helen Motanis	-
Dean Buonomano	edu	Domenica Bueti	it
Dean Buonomano	edu	Tyler Lee	-
Dean Buonomano	edu	Tom Otis	-
Dean Buonomano	edu	Wenxi Chen	-
Benedetto De Martino	-	Steve Fleming	uk
Brian Mullen	-	Brian Odegaard	edu
Steve Fleming	uk	Zoltan Nagy	-
Marion Rouault	-	Steve Fleming	uk
Dan Bang	-	Steve Fleming	uk
Max Rollwage	-	Steve Fleming	uk
Nicholas D Wright	-	Steve Fleming	uk
Neil Garrett	-	Steve Fleming	uk
Iroise Dumontheil	-	Steve Fleming	uk
Emma J Kilford	-	Steve Fleming	uk
Dominik R Bach	-	Steve Fleming	uk
